obwod;coordexact;glosy;icon
102453;53.744271 18.691617;0;measle_white
102454;53.739731 18.651046;0;measle_white
102455;53.75032 18.601968;0;measle_white
102456;53.70863 18.6731239;0;measle_white
102457;53.690782 18.635462;2;measle_white
102458;53.744271 18.691617;0;measle_white
102459;53.8844513 18.5566877;0;measle_white
102460;53.925563 18.573909;2;measle_white
102461;53.951954 18.571147;0;measle_white
102462;53.9620713 18.5951651;1;measle_white
102463;53.927437 18.611195;3;measle_white
102464;53.9669885 18.6445803;0;measle_white
102465;53.989208 18.644934;1;measle_white
102466;53.983981 18.602494;0;measle_white
102467;54.001959 18.6059789;1;measle_white
102468;54.019297 18.4982343;0;measle_white
102469;53.9955822 18.524887;4;measle_grey
102470;54.0185582 18.4992309;1;measle_white
102471;54.002146 18.441471;4;measle_grey
102472;53.9637675 18.4818881;0;measle_white
102473;53.9465839 18.4676448;5;measle_grey
102474;53.938072 18.433376;1;measle_white
102475;53.918427 18.446558;2;measle_white
102476;53.9242473 18.4905459;0;measle_white
102477;54.0192207 18.6660719;0;measle_white
102478;53.9606419 18.4872348;0;measle_white
102479;53.9941238 18.390432;0;measle_white
102480;53.9648743 18.3483524;1;measle_white
102481;53.8891975 18.3524931;0;measle_white
102482;53.911333 18.2260442;2;measle_white
102483;53.933503 18.3262879;1;measle_white
102484;53.920496 18.285249;1;measle_white
102485;53.9630037 18.3491008;1;measle_white
102486;54.103419 18.804234;3;measle_white
102487;54.0941893 18.792759;1;measle_white
102488;54.092092 18.7915586;3;measle_white
102489;54.0919269 18.7773072;0;measle_white
102490;54.099169 18.764329;3;measle_white
102491;54.099169 18.764329;2;measle_white
102492;54.098039 18.770575;4;measle_grey
102493;54.100165 18.772451;2;measle_white
102494;54.099913 18.7697769;1;measle_white
102495;54.094205 18.763275;2;measle_white
102496;54.0938163 18.7687305;3;measle_white
102497;54.0880714 18.7675399;2;measle_white
102498;54.089707 18.769109;1;measle_white
102499;54.0950626 18.783803;2;measle_white
102500;54.0950626 18.783803;0;measle_white
102501;54.093049 18.7877519;4;measle_grey
102502;54.088792 18.783015;2;measle_white
102503;54.089433 18.794369;1;measle_white
102504;54.0876804 18.7975946;5;measle_grey
102505;54.0849003 18.7937678;3;measle_white
102506;54.0752131 18.7904557;5;measle_grey
102507;54.0827216 18.8040766;1;measle_white
102508;54.078163 18.800594;1;measle_white
102509;54.078163 18.800594;4;measle_grey
102510;54.0737455 18.7735553;1;measle_white
102511;54.0825885 18.7899189;0;measle_white
102512;54.0852799 18.7984031;0;measle_white
102513;54.090555 18.7976299;0;measle_white
102514;53.836758 18.820469;1;measle_white
102515;53.836758 18.820469;1;measle_white
102516;53.836758 18.820469;2;measle_white
102517;53.8348173 18.8248925;0;measle_white
102518;53.8348293 18.8247662;0;measle_white
102519;53.836965 18.827979;2;measle_white
102520;53.836965 18.827979;1;measle_white
102521;53.8801921 18.7623448;2;measle_white
102522;53.8772845 18.8515764;3;measle_white
102523;53.805025 18.777427;1;measle_white
102524;53.7426926 18.8229166;0;measle_white
102525;53.697556 18.7213499;1;measle_white
102526;53.697556 18.7213499;0;measle_white
102527;53.7500022 18.9318396;0;measle_white
102528;53.8252167 18.8143871;0;measle_white
102529;53.839895 18.8158049;0;measle_white
102530;53.782135 18.706736;0;measle_white
102531;53.840563 18.6857869;0;measle_white
102532;53.8669456 18.6567529;1;measle_white
102533;53.78926 18.6577449;2;measle_white
102534;53.928376 18.705433;0;measle_white
102535;53.929777 18.697898;2;measle_white
102536;53.927108 18.687562;2;measle_white
102537;53.924959 18.696834;0;measle_white
102538;53.926773 18.6831879;1;measle_white
102539;53.946296 18.777846;1;measle_white
102540;53.934488 18.758257;1;measle_white
102541;53.9111536 18.7797221;0;measle_white
102542;53.912702 18.650609;0;measle_white
102543;53.9643416 18.7095574;1;measle_white
102544;53.881625 18.7076246;1;measle_white
102545;53.9266247 18.6884934;1;measle_white
102546;54.001312 18.769937;1;measle_white
102547;54.003734 18.828754;0;measle_white
102548;54.0071351 18.7256978;0;measle_white
102549;54.000631 18.7679869;1;measle_white
102550;54.120727 18.792481;0;measle_white
102551;54.056192 18.7935309;1;measle_white
102552;54.0456 18.7569239;2;measle_white
102553;54.037954 18.663954;2;measle_white
102554;54.0678398 18.5893943;0;measle_white
102555;54.095294 18.62444;2;measle_white
102556;54.115526 18.639612;1;measle_white
102557;54.0903 18.7043359;0;measle_white
102558;54.081965 18.7458959;0;measle_white
102559;54.081669 18.7320659;1;measle_white
102560;54.136073 18.7180779;1;measle_white
102561;54.088932 18.590039;0;measle_white
102562;54.095282 18.698981;0;measle_white
102681;53.92348 19.349508;1;measle_white
102682;53.919046 19.348076;1;measle_white
102683;53.8977272 19.2164378;0;measle_white
102684;53.964263 19.357522;0;measle_white
102685;54.000521 19.321468;1;measle_white
102686;54.014422 19.24881;0;measle_white
102687;53.96432 19.297078;0;measle_white
102688;53.934582 19.289631;0;measle_white
102689;53.903168 19.3111979;0;measle_white
102690;53.876019 19.2967109;0;measle_white
102691;53.9079425 19.2819757;0;measle_white
102692;53.92348 19.349508;3;measle_white
102693;53.853476 19.164455;3;measle_white
102694;53.8977272 19.2164378;1;measle_white
102695;53.882251 19.224989;1;measle_white
102696;53.842051 19.2884159;3;measle_white
102697;53.887604 19.3656249;0;measle_white
102698;53.8431518 19.3998874;2;measle_white
102699;53.910637 19.5005059;1;measle_white
102700;53.896218 19.462058;0;measle_white
102701;53.8977272 19.2164378;0;measle_white
102702;53.922647 19.170447;2;measle_white
102703;53.923038 19.1724919;1;measle_white
102704;53.9507739 19.191615;0;measle_white
102705;53.984537 19.152297;1;measle_white
102706;54.0164461 19.0295365;3;measle_white
102707;53.971717 19.208526;2;measle_white
102708;53.9312806 18.8775119;8;measle_grey
102709;53.982867 19.0004059;6;measle_grey
102710;53.903489 19.067314;2;measle_white
102711;53.869393 19.000642;0;measle_white
102712;53.870216 19.056957;0;measle_white
102713;53.929267 19.0281813;2;measle_white
102714;53.920858 19.02656;3;measle_white
102715;53.918257 19.033303;5;measle_grey
102716;53.9188277 19.0321484;0;measle_white
102717;53.919799 19.0306639;8;measle_grey
102718;53.917147 19.0513349;4;measle_grey
102719;53.927715 19.027859;1;measle_white
102720;53.9221356 19.0257001;0;measle_white
102721;53.922284 19.0317706;1;measle_white
102722;54.409433 18.630729;4;measle_grey
102723;54.4040914 18.6308794;1;measle_white
102724;54.4029111 18.627437;6;measle_grey
102725;54.4029111 18.627437;1;measle_white
102726;54.4055443 18.6446297;0;measle_white
102727;54.4055443 18.6446297;1;measle_white
102728;54.4017842 18.6542058;2;measle_white
102729;54.402127 18.662468;0;measle_white
102730;54.402127 18.662468;4;measle_grey
102731;54.39909 18.671689;2;measle_white
102732;54.39909 18.671689;1;measle_white
102733;54.3901961 18.6463744;0;measle_white
102734;54.3606006 18.7109915;8;measle_grey
102735;54.3606006 18.7109915;2;measle_white
102736;54.3614127 18.7125468;2;measle_white
102737;54.3614127 18.7125468;1;measle_white
102738;54.360658 18.719846;3;measle_white
102739;54.358267 18.691616;3;measle_white
102740;54.358267 18.691616;2;measle_white
102741;54.3520252 18.6466384;3;measle_white
102742;54.344902 18.829522;2;measle_white
102743;54.336769 18.9092549;2;measle_white
102744;54.3520252 18.6466384;3;measle_white
102745;54.3483039 18.675273;0;measle_white
102746;54.3520252 18.6466384;4;measle_grey
102747;54.330699 18.628622;3;measle_white
102748;54.330699 18.628622;5;measle_grey
102749;54.330699 18.628622;1;measle_white
102750;54.328276 18.638448;0;measle_white
102751;54.328276 18.638448;4;measle_grey
102752;54.32343 18.6335309;2;measle_white
102753;54.319864 18.636567;1;measle_white
102754;54.319864 18.636567;2;measle_white
102755;54.3021011 18.6300199;1;measle_white
102756;54.2840025 18.6363879;0;measle_white
102757;54.3585712 18.6487395;4;measle_grey
102758;54.357356 18.6495639;1;measle_white
102759;54.3539055 18.6480674;1;measle_white
102760;54.35402 18.6571106;0;measle_white
102761;54.352801 18.65496;1;measle_white
102762;54.352801 18.65496;2;measle_white
102763;54.34857 18.648428;5;measle_grey
102764;54.344748 18.649952;3;measle_white
102765;54.345382 18.652648;2;measle_white
102766;54.3421719 18.657267;3;measle_white
102767;54.3421719 18.657267;2;measle_white
102768;54.346629 18.6638549;8;measle_grey
102769;54.3481985 18.6636593;0;measle_white
102770;54.3486285 18.6666023;2;measle_white
102771;54.352403 18.673793;2;measle_white
102772;54.354565 18.6424199;0;measle_white
102773;54.346191 18.6421059;1;measle_white
102774;54.316485 18.5891456;1;measle_white
102775;54.316485 18.5891456;2;measle_white
102776;54.3249276 18.5838502;2;measle_white
102777;54.3249276 18.5838502;1;measle_white
102778;54.3249276 18.5838502;4;measle_grey
102779;54.3249276 18.5838502;2;measle_white
102780;54.3275038 18.5953992;0;measle_white
102781;54.3323388 18.592527;2;measle_white
102782;54.3440118 18.5616135;1;measle_white
102783;54.316485 18.5891456;3;measle_white
102784;54.316485 18.5891456;1;measle_white
102785;54.316485 18.5891456;1;measle_white
102786;54.326944 18.6247481;3;measle_white
102787;54.326944 18.6247481;4;measle_grey
102788;54.326944 18.6247481;0;measle_white
102789;54.326944 18.6247481;3;measle_white
102790;54.326944 18.6247481;0;measle_white
102791;54.3324488 18.5973596;4;measle_grey
102792;54.3324488 18.5973596;4;measle_grey
102793;54.342124 18.6308419;0;measle_white
102794;54.342124 18.6308419;0;measle_white
102795;54.3421815 18.6214625;2;measle_white
102796;54.3402261 18.6222323;3;measle_white
102797;54.3402261 18.6222323;3;measle_white
102798;54.3402261 18.6222323;1;measle_white
102799;54.339908 18.6148136;3;measle_white
102800;54.339908 18.6148136;2;measle_white
102801;54.339613 18.6085231;2;measle_white
102802;54.339613 18.6085231;2;measle_white
102803;54.3440118 18.5616135;2;measle_white
102804;54.3440118 18.5616135;11;small_yellow
102805;54.3440118 18.5616135;1;measle_white
102806;54.3440118 18.5616135;2;measle_white
102807;54.3440118 18.5616135;1;measle_white
102808;54.339613 18.6085231;2;measle_white
102809;54.346201 18.597423;1;measle_white
102810;54.348217 18.618464;0;measle_white
102811;54.348217 18.618464;1;measle_white
102812;54.351763 18.6276069;0;measle_white
102813;54.351763 18.6276069;2;measle_white
102814;54.3497518 18.6308837;2;measle_white
102815;54.355485 18.6301262;1;measle_white
102816;54.3585589 18.6195244;7;measle_grey
102817;54.3570822 18.613785;2;measle_white
102818;54.3570822 18.613785;0;measle_white
102819;54.3535329 18.6026566;5;measle_grey
102820;54.3535329 18.6026566;0;measle_white
102821;54.3535329 18.6026566;2;measle_white
102822;54.358648 18.592515;4;measle_grey
102823;54.358648 18.592515;0;measle_white
102824;54.358648 18.592515;1;measle_white
102825;54.360994 18.5869779;2;measle_white
102826;54.3580517 18.5785209;4;measle_grey
102827;54.3580517 18.5785209;2;measle_white
102828;54.3580517 18.5785209;4;measle_grey
102829;54.3580517 18.5785209;3;measle_white
102830;54.3580517 18.5785209;2;measle_white
102831;54.3581567 18.5860512;3;measle_white
102832;54.355485 18.6301262;1;measle_white
102833;54.367377 18.6259461;0;measle_white
102834;54.367377 18.6259461;0;measle_white
102835;54.378634 18.6292729;2;measle_white
102836;54.378634 18.6292729;0;measle_white
102837;54.375972 18.562142;2;measle_white
102838;54.375972 18.562142;1;measle_white
102839;54.3736671 18.5654579;1;measle_white
102840;54.3520252 18.6466384;2;measle_white
102841;54.3520252 18.6466384;0;measle_white
102842;54.3520252 18.6466384;1;measle_white
102843;54.3520252 18.6466384;1;measle_white
102844;54.3520252 18.6466384;2;measle_white
102845;54.3520252 18.6466384;3;measle_white
102846;54.3520252 18.6466384;3;measle_white
102847;54.3520252 18.6466384;2;measle_white
102848;54.3520252 18.6466384;1;measle_white
102849;54.3520252 18.6466384;0;measle_white
102850;54.3520252 18.6466384;4;measle_grey
102851;54.3520252 18.6466384;1;measle_white
102852;54.3520252 18.6466384;0;measle_white
102853;54.3520252 18.6466384;1;measle_white
102854;54.3520252 18.6466384;1;measle_white
102855;54.3520252 18.6466384;2;measle_white
102856;54.3520252 18.6466384;2;measle_white
102857;54.3520252 18.6466384;3;measle_white
102858;54.3520252 18.6466384;1;measle_white
102859;54.3520252 18.6466384;3;measle_white
102860;54.3520252 18.6466384;2;measle_white
102861;54.3520252 18.6466384;0;measle_white
102862;54.3520252 18.6466384;1;measle_white
102863;54.3520252 18.6466384;1;measle_white
102864;54.387416 18.5786069;0;measle_white
102865;54.3862395 18.5827063;0;measle_white
102866;54.390604 18.584917;2;measle_white
102867;54.3874834 18.5784474;0;measle_white
102868;54.3520252 18.6466384;1;measle_white
102869;54.3520252 18.6466384;3;measle_white
102870;54.3520252 18.6466384;1;measle_white
102871;54.3520252 18.6466384;3;measle_white
102872;54.3520252 18.6466384;0;measle_white
102873;54.3520252 18.6466384;2;measle_white
102874;54.3520252 18.6466384;2;measle_white
102875;54.3520252 18.6466384;2;measle_white
102876;54.3520252 18.6466384;0;measle_white
102877;54.3520252 18.6466384;0;measle_white
102878;54.3520252 18.6466384;2;measle_white
102879;54.3520252 18.6466384;1;measle_white
102880;54.4101446 18.596742;2;measle_white
102881;54.4101446 18.596742;6;measle_grey
102882;54.4101446 18.596742;1;measle_white
102883;54.4101446 18.596742;2;measle_white
102884;54.4101446 18.596742;0;measle_white
102885;54.4101446 18.596742;3;measle_white
102886;54.4101446 18.596742;4;measle_grey
102887;54.4101446 18.596742;5;measle_grey
102888;54.4101446 18.596742;1;measle_white
102889;54.4101446 18.596742;1;measle_white
102890;54.4101446 18.596742;2;measle_white
102891;54.4101446 18.596742;2;measle_white
102892;54.4101446 18.596742;0;measle_white
102893;54.3520252 18.6466384;3;measle_white
102894;54.3520252 18.6466384;2;measle_white
102895;54.3520252 18.6466384;1;measle_white
102896;54.3520252 18.6466384;2;measle_white
102897;54.3520252 18.6466384;1;measle_white
102898;54.3520252 18.6466384;2;measle_white
102899;54.3883512 18.4835341;5;measle_grey
102900;54.3713747 18.5241364;2;measle_white
102901;54.353388 18.4809456;2;measle_white
102902;54.353388 18.4809456;3;measle_white
102903;54.3397855 18.5092102;1;measle_white
102904;54.3397855 18.5092102;4;measle_grey
102905;54.418086 18.5867109;2;measle_white
102906;54.418086 18.5867109;3;measle_white
102907;54.42405 18.5844339;1;measle_white
102908;54.42405 18.5844339;5;measle_grey
102909;54.4200032 18.5731208;0;measle_white
102910;54.4200032 18.5731208;4;measle_grey
102911;54.422398 18.5764229;1;measle_white
102912;54.422398 18.5764229;0;measle_white
102913;54.4216515 18.560675;0;measle_white
102914;54.4157438 18.5575208;1;measle_white
102915;54.4211975 18.5626184;2;measle_white
102916;54.411851 18.555844;2;measle_white
102917;54.409695 18.5572519;1;measle_white
102918;54.406913 18.559098;1;measle_white
102919;54.4044304 18.5674256;1;measle_white
102920;54.404237 18.565019;3;measle_white
102921;54.3988988 18.571701;0;measle_white
102922;54.387284 18.5747836;3;measle_white
102923;54.387284 18.5747836;3;measle_white
102924;54.4308579 18.4682299;4;measle_grey
102925;54.4308579 18.4682299;1;measle_white
102926;54.4308579 18.4682299;4;measle_grey
102927;54.4210813 18.4795195;3;measle_white
102928;54.4210813 18.4795195;2;measle_white
102929;54.359508 18.7124596;0;measle_white
102930;54.3611411 18.6849073;1;measle_white
102931;54.35306 18.639691;0;measle_white
102932;54.3510039 18.6374958;0;measle_white
102933;54.3504259 18.6352617;0;measle_white
102934;54.351875 18.636173;1;measle_white
102935;54.3656698 18.619656;0;measle_white
102936;54.364272 18.6176259;0;measle_white
102937;54.3520252 18.6466384;1;measle_white
102938;54.3520252 18.6466384;0;measle_white
102939;54.3520252 18.6466384;0;measle_white
102940;54.3520252 18.6466384;0;measle_white
102941;54.3520252 18.6466384;0;measle_white
102942;54.3520252 18.6466384;0;measle_white
102943;54.372602 18.5126269;0;measle_white
102944;54.39709 18.564025;0;measle_white
102945;54.394007 18.5669587;0;measle_white
102946;50.146181 20.9073934;2;measle_white
102947;54.3520252 18.6466384;0;measle_white
103116;54.449116 18.5624417;2;measle_white
103117;54.4454612 18.5696073;4;measle_grey
103118;54.4406304 18.5635879;1;measle_white
103119;54.445282 18.570287;1;measle_white
103120;54.4400558 18.5636253;4;measle_grey
103121;54.43976 18.5706339;0;measle_white
103122;54.440017 18.576054;2;measle_white
103123;54.435275 18.5704709;1;measle_white
103124;54.433779 18.56948;3;measle_white
103125;54.4361697 18.5592935;2;measle_white
103126;54.4361697 18.5592935;1;measle_white
103127;54.4391275 18.5466887;0;measle_white
103128;54.438852 18.5610459;1;measle_white
103129;54.444824 18.555115;1;measle_white
103130;54.448392 18.5413289;3;measle_white
103131;54.449838 18.5508479;0;measle_white
103132;54.441581 18.5600956;2;measle_white
103133;54.452719 18.5543312;1;measle_white
103134;54.460574 18.549592;1;measle_white
103135;54.456896 18.5322282;3;measle_white
103136;54.457549 18.5382284;2;measle_white
103137;54.4448112 18.5695275;0;measle_white
103140;54.441117 18.671126;0;measle_white
103141;54.435506 18.671126;0;measle_white
