no;lat;lon;dist;tdist;alt
00002;54.2145698;19.1124878;55.8091605848999;55.8091605848999;-0.233
00003;54.2146325;19.1122947;14.3628949501992;70.1720555350991;-0.175
00004;54.2146200;19.1120801;14.0240358712583;84.1960914063574;0.000
00005;54.2145572;19.1119943;8.93880822794056;93.134899634298;0.000
00006;54.2144820;19.1119943;8.3626984764007;101.497598110699;0.000
00007;54.2143439;19.1120801;16.3396634653505;117.837261576049;0.000
00008;54.2142561;19.1121016;9.86348626885791;127.700747844907;-0.100
00009;54.2140428;19.1120586;23.8845065337132;151.58525437862;-0.350
00010;54.2131017;19.1115437;109.881971269412;261.467225648032;-0.575
00011;54.2122987;19.1109428;97.4742886152835;358.941514263316;-0.875
00012;54.2116085;19.1103420;86.12669666346;445.068210926776;-1.275
00013;54.2111944;19.1099343;53.1378516376509;498.206062564427;-1.525
00014;54.2121481;19.1085610;138.651573293638;636.857635858065;-1.925
00015;54.2124994;19.1078744;59.3286035360551;696.18623939412;-2.125
00016;54.2130139;19.1066942;95.7291813549191;791.915420749039;-2.125
00017;54.2136915;19.1053638;114.730459047169;906.645879796209;-2.125
00018;54.2138169;19.1052995;14.558632030295;921.204511826503;-2.000
00019;54.2139550;19.1051707;17.4930742430343;938.697586069538;-2.000
00020;54.2139675;19.1050205;9.8657589237448;948.563344993283;-2.050
00021;54.2139424;19.1048489;11.5027621851131;960.066107178396;-2.125
00022;54.2138420;19.1047845;11.9246597798652;971.990766958261;-2.200
00023;54.2136915;19.1047845;16.7365175608228;988.727284519084;-2.475
00024;54.2125873;19.1024027;197.658473138672;1186.38575765776;-2.800
00025;54.2118469;19.1011796;114.481531798888;1300.86728945664;-3.000
00026;54.2117591;19.1008148;25.654456802282;1326.52174625893;-3.100
00027;54.2116963;19.1005144;20.7465054279286;1347.26825168685;-2.975
00028;54.2116963;19.0995274;64.1870242841508;1411.455275971;-2.925
00029;54.2119097;19.0984759;72.3823171719526;1483.83759314296;-2.925
00030;54.2120477;19.0976605;55.2031336011591;1539.04072674412;-3.000
00031;54.2120477;19.0971241;34.8831073117171;1573.92383405583;-3.100
00032;54.2120414;19.0971456;1.56389311353209;1575.48772716937;-3.125
00033;54.2103348;19.0901074;495.502710124354;2070.99043729372;-2.950
00034;54.2095066;19.0868459;231.245024240087;2302.23546153381;-2.800
00035;54.2086282;19.0834556;241.16270896965;2543.39817050346;-2.400
00036;54.2083019;19.0828118;55.4067508408498;2598.80492134431;-1.675
00037;54.2069214;19.0807519;203.757984665328;2802.56290600963;-0.825
00038;54.2064948;19.0800223;67.1001373069989;2869.66304331663;-0.375
00039;54.2056414;19.0781341;155.206874292598;3024.86991760923;-0.175
00040;54.2052648;19.0777049;50.3315370340754;3075.20145464331;-0.050
00041;54.2044365;19.0764604;122.625138273856;3197.82659291716;-0.525
00042;54.2038592;19.0755591;86.9389107111338;3284.7655036283;-0.800
00043;54.2034827;19.0749154;59.2121417826387;3343.97764541094;-1.500
00044;54.2018510;19.0701518;359.077742317737;3703.05538772867;-2.125
00045;54.2002193;19.0657744;337.648459471527;4040.7038472002;-1.975
00046;54.1999934;19.0652165;44.1382034435875;4084.84205064379;-1.650
00047;54.1999558;19.0652595;5.03070035095288;4089.87275099474;-1.250
00048;54.1993031;19.0637145;123.974268786729;4213.84701978147;-1.375
00049;54.1986001;19.0582213;365.798122414747;4579.64514219621;-2.050
00050;54.1984997;19.0577064;35.3076780042096;4614.95282020042;-1.225
00051;54.1899633;19.0384803;1570.28435382716;6185.23717402758;-0.450
00052;54.1888082;19.0385661;128.575423207388;6313.81259723497;0.325
00053;54.1877536;19.0382228;119.386418003965;6433.19901523894;0.550
00054;54.1854433;19.0366778;275.88969333104;6709.08870856998;-0.425
00055;54.1789637;19.0303264;830.707027532764;7539.79573610274;-1.025
00056;54.1768539;19.0278373;285.119764130536;7824.91550023328;-1.150
00057;54.1729856;19.0234599;515.981251039378;8340.89675127266;-0.700
00058;54.1716291;19.0219150;181.298775224848;8522.1955264975;-0.225
00059;54.1717045;19.0220008;10.0747982899744;8532.27032478748;0.225
00060;54.1700967;19.0209708;190.955672097904;8723.22599688538;0.100
00061;54.1657755;19.0206275;481.063218406421;9204.2892152918;0.400
00062;54.1582375;19.0204558;838.346100969521;10042.6353162613;0.375
00063;54.1572323;19.0202842;112.341472635832;10154.9767888972;0.475
00064;54.1511002;19.0177093;702.241146100597;10857.2179349978;1.100
00065;54.1510877;19.0179238;14.0389076804586;10871.2568426782;1.025
00066;54.1488256;19.0172372;255.503005933554;11126.7598486118;0.875
00067;54.1460858;19.0162501;311.392092777855;11438.1519413896;0.850
00068;54.1440246;19.0151343;240.464778829455;11678.6167202191;0.700
00069;54.1432202;19.0143189;104.034774620693;11782.6514948398;0.625
00070;54.1419381;19.0120873;203.618479507805;11986.2699743476;1.075
00071;54.1407817;19.0100274;185.860555913641;12172.1305302612;1.025
00072;54.1400024;19.0095124;92.9302378595384;12265.0607681208;1.200
00073;54.1388962;19.0086970;133.995274084704;12399.0560422055;1.650
00074;54.1379408;19.0075383;130.332349443226;12529.3883916487;1.675
00075;54.1379408;19.0075383;0;12529.3883916487;2.700
00076;54.1349489;19.0041051;400.913811819265;12930.3022034679;3.150
00077;54.1343958;19.0032897;81.2751391767046;13011.5773426447;3.150
00078;54.1342197;19.0024743;56.6212137357808;13068.1985563804;3.525
00079;54.1336666;19.0025172;61.5715698123271;13129.7701261928;3.500
00080;54.1332391;19.0026031;47.868926646819;13177.6390528396;3.475
00081;54.1326608;19.0024743;64.8557367526592;13242.4947895922;3.975
00082;54.1320322;19.0022168;71.8894435698249;13314.3842331621;3.450
00083;54.1314539;19.0023456;64.8557683906122;13379.2400015527;2.300
00084;54.1298697;19.0026031;176.969896184007;13556.2098977367;1.550
00085;54.1284615;19.0026031;156.600425445507;13712.8103231822;1.050
00086;54.1275059;19.0026031;106.268546055704;13819.0788692379;1.200
00087;54.1275310;19.0026031;2.7912730279049;13821.8701422658;1.400
00088;54.1266508;19.0026031;97.8836063604309;13919.7537486262;1.550
00089;54.1258209;19.0021310;97.2827682481035;14017.0365168743;1.275
00090;54.1250413;19.0017018;91.0965156186828;14108.133032493;0.825
00091;54.1247144;19.0016160;36.7807747780654;14144.9138072711;0.925
00092;54.1239096;19.0017018;89.6731683526941;14234.5869756238;1.050
00093;54.1228281;19.0015731;120.561512388749;14355.1484880125;1.200
00094;54.1210676;19.0011868;197.390517526993;14552.5390055395;1.575
00095;54.1201369;19.0010581;103.838865878654;14656.3778714182;1.750
00096;54.1197093;19.0011439;47.8794230168964;14704.2572944351;1.850
00097;54.1188793;19.0015302;95.6735465814983;14799.9308410166;1.675
00098;54.1178732;19.0020881;117.645386198723;14917.5762272153;1.200
