no;lat;lon;dist;tdist;alt;slope
00024;54.212587;19.102403;1186.386;1186.39;-0.3;-0.0
00034;54.209507;19.086846;1115.850;2302.24;0.0;0.0
00043;54.203483;19.074915;1041.742;3343.98;1.3;0.1
00049;54.198600;19.058221;1235.667;4579.65;-0.5;-0.0
00051;54.189963;19.038480;1605.592;6185.24;1.6;0.1
00055;54.178964;19.030326;1354.559;7539.80;-0.6;-0.0
00060;54.170097;19.020971;1183.430;8723.23;1.1;0.1
00062;54.158237;19.020456;1319.409;10042.64;0.3;0.0
00066;54.148826;19.017237;1084.125;11126.76;0.5;0.0
00071;54.140782;19.010027;1045.371;12172.13;0.1;0.0
00080;54.133239;19.002603;1005.509;13177.64;2.5;0.2
00092;54.123910;19.001702;1056.948;14234.59;-2.4;-0.2
00102;54.114980;19.002689;1010.475;15245.06;-0.2;-0.0
00110;54.105647;19.002560;1058.608;16303.67;1.9;0.2
00118;54.096588;18.997754;1065.858;17369.53;-0.8;-0.1
00128;54.083499;19.001058;1511.035;18880.56;0.5;0.0
00133;54.074914;19.006809;1028.520;19909.08;1.5;0.1
00137;54.058670;19.018911;1972.213;21881.30;0.7;0.0
00147;54.050205;19.025649;1054.339;22935.64;0.7;0.1
00158;54.042546;19.024962;1000.757;23936.39;-0.2;-0.0
00167;54.035489;19.024662;1171.559;25107.95;5.6;0.5
00176;54.025432;19.017538;1215.656;26323.61;5.5;0.5
00182;54.017263;19.011487;1027.406;27351.01;1.3;0.1
00191;54.005675;19.006422;1368.826;28719.84;17.1;1.2
00193;53.992053;19.002818;1533.098;30252.94;3.9;0.3
00198;53.981355;19.001444;1208.013;31460.95;5.0;0.4
00202;53.973581;19.009512;1091.578;32552.53;2.7;0.2
00207;53.964291;19.013117;1066.079;33618.61;-2.7;-0.3
00210;53.957020;19.023417;1054.282;34672.89;-2.2;-0.2
00214;53.946413;19.023589;1228.105;35900.99;10.3;0.8
00218;53.937521;19.026507;1012.877;36913.87;2.5;0.2
00221;53.924003;19.028910;1511.669;38425.54;2.3;0.2
00237;53.924578;19.020585;1017.319;39442.86;-8.6;-0.9
00244;53.929601;19.005886;1193.803;40636.66;-2.7;-0.2
00255;53.929639;18.989407;1132.295;41768.96;5.2;0.5
00262;53.920946;18.940226;3483.358;45252.32;9.3;0.3
00263;53.918873;18.924519;1054.168;46306.49;2.8;0.3
00265;53.915840;18.901602;1560.573;47867.06;-9.2;-0.6
00273;53.913919;18.886496;1156.994;49024.05;-39.6;-3.4
00284;53.923422;18.873621;1515.216;50539.27;-4.5;-0.3
00288;53.933327;18.866669;1270.471;51809.74;3.0;0.2
00293;53.939795;18.874908;1129.166;52938.91;-3.2;-0.3
00296;53.945352;18.888040;1067.572;54006.48;3.2;0.3
00301;53.954444;18.891731;1094.900;55101.38;3.3;0.3
00307;53.963938;18.886667;1133.779;56235.16;2.1;0.2
00311;53.968684;18.876539;1008.289;57243.44;-6.9;-0.7
00316;53.991498;18.897482;3092.006;60335.45;-3.8;-0.1
00317;54.000782;18.908812;1270.582;61606.03;-0.4;-0.0
00319;54.013897;18.918425;1588.014;63194.05;-0.8;-0.1
00333;54.010757;18.904434;1170.602;64364.65;-1.0;-0.1
00341;54.008967;18.884393;1417.673;65782.32;0.4;0.0
00347;54.009673;18.866197;1193.570;66975.89;-0.3;-0.0
00354;54.012194;18.854996;1011.137;67987.03;1.8;0.2
00362;54.020213;18.854223;1011.527;68998.56;-2.1;-0.2
00367;54.030625;18.853236;1163.992;70162.55;0.4;0.0
00375;54.040983;18.857528;1193.739;71356.29;1.2;0.1
00384;54.049777;18.860188;1003.964;72360.25;-1.3;-0.1
00392;54.056856;18.855768;1056.347;73416.60;0.0;0.0
00402;54.067095;18.856283;1152.852;74569.45;-0.6;-0.0
00408;54.076110;18.849760;1220.100;75789.55;-1.2;-0.1
00411;54.080491;18.831907;1262.658;77052.21;1.5;0.1
00416;54.087942;18.820578;1245.253;78297.46;0.9;0.1
00426;54.096651;18.829161;1254.683;79552.14;0.0;0.0
00430;54.109433;18.849245;1950.719;81502.86;-0.7;-0.0
00434;54.115421;18.862120;1075.259;82578.12;-1.0;-0.1
00438;54.121357;18.867355;1052.058;83630.18;-0.8;-0.1
00443;54.133378;18.862806;1412.594;85042.77;-1.1;-0.1
00446;54.143836;18.856712;1273.300;86316.07;0.8;0.1
00447;54.153739;18.856112;1101.980;87418.05;0.1;0.0
00449;54.171177;18.857657;1948.390;89366.44;0.2;0.0
00450;54.168916;18.874651;1134.521;90500.96;-0.3;-0.0
00451;54.164796;18.896624;1502.072;92003.04;-0.3;-0.0
00453;54.173890;18.898512;1028.099;93031.14;-0.1;-0.0
00456;54.181927;18.909069;1128.397;94159.53;-1.1;-0.1
00461;54.190867;18.917309;1139.853;95299.39;0.4;0.0
00464;54.196642;18.936621;1411.194;96710.58;-0.9;-0.1
00467;54.208641;18.953529;1730.097;98440.68;-1.3;-0.1
00475;54.216872;18.947950;1004.725;99445.40;0.3;0.0
00479;54.226507;18.954216;1177.683;100623.08;-0.7;-0.1
00481;54.236340;18.962456;1217.646;101840.73;-0.3;-0.0
00484;54.244265;18.971382;1108.536;102949.27;1.3;0.1
00494;54.249832;18.973700;1017.130;103966.40;-1.2;-0.1
00497;54.253041;18.957134;1133.953;105100.35;-1.2;-0.1
00502;54.264322;18.956963;1575.870;106676.22;2.0;0.1
00506;54.274747;18.964087;1271.767;107947.99;-0.4;-0.0
00511;54.283316;18.969322;1018.498;108966.48;2.0;0.2
00518;54.292535;18.971811;1350.666;110317.15;-0.3;-0.0
00526;54.310314;18.966061;2049.527;112366.68;-0.9;-0.0
00532;54.318726;18.965632;1014.207;113380.88;-1.5;-0.1
00542;54.327436;18.963915;1041.728;114422.61;-0.2;-0.0
00549;54.333242;18.973185;1074.703;115497.32;1.8;0.2
00554;54.334393;18.999535;1719.358;117216.67;8.4;0.5
00558;54.333542;19.014555;1033.362;118250.04;-1.2;-0.1
00564;54.331690;19.031893;1159.646;119409.68;-4.6;-0.4
00568;54.333192;19.048115;1087.821;120497.50;-0.2;-0.0
00572;54.332341;19.066912;1223.105;121720.61;4.4;0.4
00577;54.331890;19.083992;1110.811;122831.42;4.4;0.4
00581;54.329788;19.100729;1134.864;123966.28;-5.3;-0.5
00593;54.324689;19.111994;1050.375;125016.66;-5.9;-0.6
00599;54.302515;19.108797;2496.749;127513.41;-2.3;-0.1
00603;54.292948;19.112831;1139.934;128653.34;0.8;0.1
00613;54.284682;19.118067;1016.408;129669.75;1.5;0.1
00619;54.278268;19.129311;1075.261;130745.01;-1.8;-0.2
00624;54.270500;19.137808;1101.516;131846.53;-0.8;-0.1
00627;54.258669;19.136435;1342.227;133188.75;-0.6;-0.0
00631;54.248641;19.140554;1157.339;134346.09;-0.2;-0.0
00637;54.240967;19.137465;1042.109;135388.20;1.4;0.1
00640;54.228175;19.118925;1898.803;137287.00;-0.0;-0.0
00642;54.219243;19.110943;1123.895;138410.90;0.4;0.0
00659;54.212286;19.108046;1026.402;139437.30;-0.1;-0.0
00673;54.214269;19.113174;650.626;140087.93;1.7;0.3
